Participant ID,t2.q18.a1,t2.q18.a1.ch,t2.q18.a1.la,t2.q18.a1.monty,t2.q18.a2,t2.q18.a2.ch,t2.q18.a2.la,t2.q18.a2.monty,t2q18a3,t2.q18.a3.ch,t2.q18.a3.la,t2.q18.a3.monty,t2q18a4,t2.q18.a4.ch,t2.q18.a4.la,t2.q18.a4.monty,t2q18a5,t2.q18.a5.ch,t2.q18.a5.la,t2.q18.a5.monty,t2q1anu,t3q18a1,t3.q18.a1.ch,t3.q18.a1.la,t3.q18.a1.monty,t3q18a2,t3.q18.a2.ch,t3.q18.a2.la,t3.q18.a2.monty,t3q18a3,t3.q18.a3.ch,t3.q18.a3.la,t3.q18.a3.monty,t3q18a4,t3.q18.a4.ch,t3.q18.a4.la,t3.q18.a4.monty,t3q18a5,t3.q18.a5.ch,t3.q18.a5.la,t3.q18.a5.monty,t3q18anu,t2q18b1,t2.q18.b1.ch,t2.q18.b1.la,t2.q18.b1.monty,t2q18b2,t2.q18.b2.ch,t2.q18.b2.la,t2.q18.b2.monty,t2q18b3,t2.q18.b3.ch,t2.q18.b3.la,t2.q18.b3.monty,t2q18b4,t2.q18.b4.ch,t2.q18.b4.la,t2.q18.b4.monty,t2q18b5,t2.q18.b5.ch,t2.q18.b5.la,t2.q18.b5.monty,t2q18bnu,t3q18b1,t3.q18.b1.ch,t3.q18.b1.la,t3.q18.b1.monty,t3q18b2,t3.q18.b2.ch,t3.q18.b2.la,t3.q18.b2.monty,t3q18b3,t3.q18.b3.ch,t3.q18.b3.la,t3.q18.b3.monty,t3q18b4,t3.q18.b4.ch,t3.q18.b4.la,t3.q18.b4.monty,t3q18b5,t3.q18.b5.ch,t3.q18.b5.la,t3.q18.b5.monty,t3q18bnu,t2q19a1,t2.q19.a1.ch,t2.q19.a1.la,t2.q19.a1.monty,t2q19a2,t2.q19.a2.ch,t2.q19.a2.la,t2.q19.a2.monty,t2q19a3,t2.q19.a3.ch,t2.q19.a3.la,t2.q19.a3.monty,t2q19a4,t2.q19.a4.ch,t2.q19.a4.la,t2.q19.a4.monty,t2q19a5,t2.q19.a5.ch,t2.q19.a5.la,t2.q19.a5.monty,t219anu,t3q19a1,t3.q19.a1.ch,t3.q19.a1.la,t3.q19.a1.monty,t3q19a2,t3.q19.a2.ch,t3.q19.a2.la,t3.q19.a2.monty,t3q19a3,t3.q19.a3.ch,t3.q19.a3.la,t3.q19.a3.monty,t3q19a4,t3.q19.a4.ch,t3.q19.a4.la,t3.q19.a4.monty,t3q19a5,t3.q19.a5.ch,t3.q19.a5.la,t3.q19.a5.monty,t319anu,t2q19b1,t2.q19.b1.ch,t2.q19.b1.la,t2.q19.b1.monty,t2q19b2,t2.q19.b2.ch,t2.q19.b2.la,t2.q19.b2.monty,t2q19b3,t2.q19.b3.ch,t2.q19.b3.la,t2.q19.b3.monty,t2q19b4,t2.q19.b4.ch,t2.q19.b4.la,t2.q19.b4.monty,t2q19b5,t2.q19.b5.ch,t2.q19.b5.la,t2.q19.b5.monty,t2q19bnu,t3q19b1,t3.q19.b1.ch,t3.q19.b1.la,t3.q19.b1.monty,t3q19b2,t3.q19.b2.ch,t3.q19.b2.la,t3.q19.b2.monty,t3q19b3,t3.q19.b3.ch,t3.q19.b3.la,t3.q19.b3.monty,t3q19b4,t3.q19.b4.ch,t3.q19.b4.la,t3.q19.b4.monty,t3q19b5,t3.q19.b5.ch,t3.q19.b5.la,t3.q19.b5.monty,t319bnu,t2q20a1,t2.q20.a1.ch,t2.q20.a1.la,t2.q20.a1.monty,t2q20a2,t2.q20.a2.ch,t2.q20.a2.la,t2.q20.a2.monty,t2q20a3,t2.q20.a3.ch,t2.q20.a3.la,t2.q20.a3.monty,t2q20a4,t2.q20.a4.ch,t2.q20.a4.la,t2.q20.a4.monty,t2q20a5,t2.q20.a5.ch,t2.q20.a5.la,t2.q20.a5.monty,t2q20anu,t3q20a1,t3.q20.a1.ch,t3.q20.a1.la,t3.q20.a1.monty,t3q20a2,t3.q20.a2.ch,t3.q20.a2.la,t3.q20.a2.monty,t3q20a3,t3.q20.a3.ch,t3.q20.a3.la,t3.q20.a3.monty,t3q20a4,t3.q20.a4.ch,t3.q20.a4.la,t3.q20.a4.monty,t3q20a5,t3.q20.a5.ch,t3.q20.a5.la,t3.q20.a5.monty,t3q20anu,t2q20b1,t2.q20.b1.ch,t2.q20.b1.la,t2.q20.b1.monty,t2q20b2,t2.q20.b2.ch,t2.q20.b2.la,t2.q20.b2.monty,t2q20b3,t2.q20.b3.ch,t2.q20.b3.la,t2.q20.b3.monty,t2q20b4,t2.q20.b4.ch,t2.q20.b4.la,t2.q20.b4.monty,t2q20b5,t2.q20.b5.ch,t2.q20.b5.la,t2.q20.b5.monty,t2q20bnu,t3q20b1,t3.q20.b1.ch,t3.q20.b1.la,t3.q20.b1.monty,t3q20b2,t3.q20.b2.ch,t3.q20.b2.la,t3.q20.b2.monty,t3q20b3,t3.q20.b3.ch,t3.q20.b3.la,t3.q20.b3.monty,t3q20b4,t3.q20.b4.ch,t3.q20.b4.la,t3.q20.b4.monty,t3q20b5,t3.q20.b5.ch,t3.q20.b5.la,t3.q20.b5.monty,t3q20bnu,t2q21a1,t2.q21.a1.ch,t2.q21.a1.la,t2.q21.a1.monty,t2q21a2,t2.q21.a2.ch,t2.q21.a2.la,t2.q21.a2.monty,t2q21a3,t2.q21.a3.ch,t2.q21.a3.la,t2.q21.a3.monty,t2q21a4,t2.q21.a4.ch,t2.q21.a4.la,t2.q21.a4.monty,t2q21a5,t2.q21.a5.ch,t2.q21.a5.la,t2.q21.a5.monty,t2q21anu,t3q21a1,t3.q21.a1.ch,t3.q21.a1.la,t3.q21.a1.monty,t3q21a2,t3.q21.a2.ch,t3.q21.a2.la,t3.q21.a2.monty,t3q21a3,t3.q21.a3.ch,t3.q21.a3.la,t3.q21.a3.monty,t3q21a4,t3.q21.a4.ch,t3.q21.a4.la,t3.q21.a4.monty,t3q21a5,t3.q21.a5.ch,t3.q21.a5.la,t3.q21.a5.monty,t3q21anu,t2q21b1,t2.q21.b1.ch,t2.q21.b1.la,t2.q21.b1.monty,t2q21b2,t2.q21.b2.ch,t2.q21.b2.la,t2.q21.b2.monty,t2q21b3,t2.q21.b3.ch,t2.q21.b3.la,t2.q21.b3.monty,t2q21b4,t2.q21.b4.ch,t2.q21.b4.la,t2.q21.b4.monty,t2q21b5,t2.q21.b5.ch,t2.q21.b5.la,t2.q21.b5.monty,t2q21bnu,t3q21b1,t3.q21.b1.ch,t3.q21.b1.la,t3.q21.b1.monty,t3q21b2,t3.q21.b2.ch,t3.q21.b2.la,t3.q21.b2.monty,t3q21b3,t3.q21.b3.ch,t3.q21.b3.la,t3.q21.b3.monty,t3q21b4,t3.q21.b4.ch,t3.q21.b4.la,t3.q21.b4.monty,t3q21b5,t3.q21.b5.ch,t3.q21.b5.la,t3.q21.b5.monty,t3q21bnu
244057,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,More mixing,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,The way they were brought up themselves,"6,3",6,6,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,So children can start off mixing together,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Want to see the country changing,4,4,,Let their children see how the other half were brought up,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
236093,All children would have the same opportunities,3,3,,Parents could then choose a school to suit where they live (geography). This would cut out competition between schools,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,,"Choose school closest to them, fairer to all schools","1,3","1,3",,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Some parents might want their kids to attend a more academic school with specialist subjects,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Brightest children to go to grammar schools,"9,2",2,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,To be able to learn more about and keep on their own faith,"6,7",6,6,Some parents do not wish their children to mix with other religions because that is the way it has always been and they don't know how any different ways would work,"6,3",6,6,NA,92,92,,NA,92,92,,NA,92,92,,2,To maintain identity,6,6,,Mixing schools would be the end of separate identities,6,6,,Loose customs & traditions,6,6,,Religious education could not be taught,7,7,,NA,92,92,,,A more mutual respect ofr eachother,4,4,,Some families are of mixed religion and don't wish to label their child with either option,"1,90",1,1,NA,92,92,,NA,92,92,,NA,92,92,,2,"Learn to have respect and understanding of other religions, learn to get on together",4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Mutual respect and understanding,4,4,,To share the benefits of eachother's schools,2,1,1,To show them that we are all the same reguardless of your choosen religion,4,3,3,To keep our two religions separate and divided,5,c3,c3,NA,92,92,,4,No point in putting them together to separate them,c6,1,5,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Losing customs and identity,8,8,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,So that children don't have to be tested or choose what they want until they are 14,3,3,,Kids wouldn't feel pressurized to do well in an adademic exam to decide their future education,3,3,,This would p[ossibly create a larger school which would be harder to control,c1,c1,,NA,92,92,,NA,92,92,,,No support,c94,91,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Pupils are ready for change at a certain level,3,3,,"If they move, they have a chance for a new beginning","3,93",3,3,NA,92,92,,NA,92,92,,NA,92,92,,2,young and teenagers shold be kept separated,4,3,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1
224107,Better range of education for all pupils,2,2,,Give pupils a better insight of their future,5,5,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Not enough religious attitude if schools were mixed,"6,7",6,7,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Better understanding of different cultures,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,The ability to work in an integrated environment,"4,5",4,4,Better friendships and interests,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
153008,Social improvements,"4,5",4,4,Youth developments/awareness,"5,4",4,5,Fairness,3,3,,Balance,4,3,4,Need for change,94,94,,5,Balanced,"2,90",3,4,Moral conscience,90,4,90,Equality,3,3,,Fairness,3,3,,Know it has to be right,"3,4","91, 94",,5,Fear of falling standards,2,2,,Fear of social mixing,"5,3",4,"3,5",Ignorance,3,3,,Fear of change,"4,5",1,5,NA,92,92,,3,Bigoted,"3,6",3,3,Small minded,3,3,,Unwilling to change,1,1,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Fear of change,"4,5",1,"3,4",Bitterness,3,3,,No religious education,7,7,,Would have to teach religion at home,7,7,,NA,92,92,,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Progressive step,4,4,,Forward thinking,4,4,,Fed up with current system,94,4,1,Breaking the cycle,4,4,,NA,92,92,,4,Social development,4,4,,Fairness,3,3,,Stimulating,2,94,2,Ignorance again,4,c3,c3,NA,92,92,,4,Progressive thinking,4,4,,First step to better understanding,4,4,,New beginnings,4,4,,NA,92,92,,NA,92,92,,,Fear of change,"4,5",3,"4,5",Possible erosion of parental influence,8,8,,Fear of bullying,5,5,,Disruptive environment,"2,5",5,,Open minded, c4,c4,,5,People do not want change,8,8,,Small minded,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,,New direction,90,94,90,Need for change,94,94,,14' is the new '16',3,"93, 94","93,94",Children of families staying together longer,"3,1",3,3,Stage thinking,3,94,3,5,No support for this,c94,91,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Fear of change,"4,5",5,"4,5",Fear of bullying,4,5,4,Lack of confidence' in management,1,1,,Ignorant,90,90,,NA,92,92,,3,Fear for welfare of small children,4,4,,Small children being exposed,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,
112084,More opportunity for less able students,2,3,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Great opportunity for children,2,94,2,No exclusion,3,3,,No selection so children would not feel failed,"5,3",5,3,Students feel more equal,"3,5",3,3,NA,92,92,,4,Change by students - teaching to the 'middle' so neither high achievers or less able are fuly catered for,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Opposed to all ability teaching,94,2,94,The teacher bases on the middle student and the weaker ad smarter children suffer,2,2,,Children need subjects which suit their ability,2,2,,NA,92,92,,NA,92,92,,3,Need to maintain own culture,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Fear of the unknown,"3,4",3,"3,4",Maintain tradition or culture,6,6,,Tied in with Church teaching,7,7,,NA,92,92,,NA,92,92,,3,Help promote understanding,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Most natural way we live and work in a community,4,4,,Ear;y mixing will lead to less problems in the future,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,Not fully integrated if not taught together,"5,c6",4,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,You would have to integrate it to work,c6,5,5,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,To keep Catholics in one class and Protestants in another there is no point,6,c1,6,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Some children do not 'peak' at 11 and should be supported longer before selection,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,I think because some don't develop as fast as other it seems 11 is not appropriate,"3,90",3,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,People who don't have all the facts,c90,1,1,People here are very much traditionalists,6,6,,To long in an environment with young children but I think it will suit most,"3,c3",94,3,NA,92,92,,NA,92,92,,3
183121,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,A school is nearer to their home,1,1,,They are getting the same chance as everyone else,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,,Need to keep grammar status schools,2,6,6,Grammar schools need to provide core subjects only,"1,2",2,2,The all-ability schools i.e. 'comprehensive' didn't work in England and won't work here,"2,1",1,1,Grammar status schools shouldn't be expected to facilitate vocational subjects,"1,2",2,2,NA,92,92,,4,Should keep grammar school for those children who are academic,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Strong Catholic upbringing and teaching,"7,6",6,6,Interdenominational status for secondary schools,90,90,,NA,92,92,,NA,92,92,,NA,92,92,,2,The areas they live in & having strong faith,"4,6","1,6","1,6",NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Helps with integration,4,4,,Develops their understanding of different cultures,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,It's good for people to lean about other faiths,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Share specialist subjects & resources,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,It's the same and shared resources is good,"1,2,5",1,1,Integration is good,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Afraid of integration,4,3,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Children wouldn't be expected to make a choice about their future unti the age of 14,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,It gives the child more time to mature,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Primary schools couldn't accommodate the numbers,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Schools not coping with numbers,"1,2",2,"1,2",Don't want to change,5,5,,NA,92,92,,NA,92,92,,NA,92,92,,2
203128,Every subject available to every pupil,"2,3","2,3",,Wider choice of subjects,2,2,,No division of pupils so no one is made to feel a failure,"5,3",2,3,Same exams,3,"1,3",1,NA,92,92,,4,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,No grammar school education provided,c3,2,2,Brighter children may not be given enough chances,2,2,,Special needs may not be identified,2,2,,NA,92,92,,NA,92,92,,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Religious education would be given priority,7,7,,Mixing with people of own community,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,,Tradition. Wary of change,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Better idea of how whole communities live,4,4,,Better idea of views of other community,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,Beneficial to mix with other religions,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Better choice of subjects,2,2,,Better understanding of whole community,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Ingrained old views - not wanting two religions to mix at all,"3,8",8,8,May not approve of child being taught by teacher of a different religion,"8,3",3,3,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,No early selection procedure,3,3,,Children at a better age to make own decisions,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,,11 is too young to be making such a big change,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,"May not want change, and would want their child to attend grammar or secondary",5,5,,Schools too large in terms of number of pupils,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,,Tradition. Keep things the way they are,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
215002,Achieve higher grades,2,2,,Improve league tables,"90,93",2,1,Better support for children you need it in different areas,2,94,2,Everyoner has the same opportunities,3,3,,Cover more vocaional subjects,2,2,,5,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Lower school status,"6,2",6,6,League tables not as high,2,2,,Given the opportunity to study vacational subjects,2,2,,NA,92,92,,NA,92,92,,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Don't want themmixing with other religions,"3,6",3,3,Don't agree with other people's beliefs & views,"6,3",3,3,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Better understanding of other religions,4,4,,Break down prejudices,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,To interact with eachother,4,4,,To learn more about different religions,4,4,,Given a chance to make up their own minds and not that of others,4,4,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Incase of disagreements/violence,"5,4",5,5,Don't want religions to mix,"8,3",3,3,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Do away with 11+,3,4,3,Children know better what they want at 14,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,It works OK as it is,5,1,,What criteria would be used at 14,1,2,1,NA,92,92,,NA,92,92,,NA,92,92,,2,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
125133,Every child gets the same chance,3,3,,Those who are not integrated in academic subjects can choose vocational/practical subjects,2,2,,Special needs children are given more options and help,2,"90, 93",2,NA,92,92,,NA,92,92,,3,To people more aware of choice of what they wanted to study,2,2,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,The grammar schools would oppose their elite status being taken away from them,6,6,,Parents would think the grammar is better even if the child is struggling,2,6,,NA,92,92,,NA,92,92,,NA,92,92,,,The Catholic Church would oppose on the having to share with Protestant,3,4,3,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,Children need to mix with other pupils to avoid sectarian issues,c4,c4,,"Depends on the school in the locality, they've no option but to send them",,1,1,NA,92,92,,NA,92,92,,NA,92,92,,2,Tradition,6,6,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,they would feel their faith being exploited,c91,91,91,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,To learn about other peoples tradition,4,4,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Shared information is vital way of communication,4,1,4,Breaks down barriers in society,4,4,,Gets rid of the old ideals that’s rooted in society and myths,4,4,,NA,92,92,,NA,92,92,,3,More opportunity for kids,"2,1",94,2,More staff positions,2,1,1,NA,92,92,,NA,92,92,,NA,92,92,,2,Parents with prejudices don't want their children mixing in classes etc,3,3,,Catholic Church schools would loose their input into the education role,8,8,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Would enhance numbers in the school roll,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,My niece goes to an english school and it works better,90,2,2,They keep their friends long,3,3,,NA,92,92,,NA,92,92,,NA,92,92,,2,Staff redundancies,1,1,,Less schools needed in the area ie closure,1,1,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
165149,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,Religion Religion cut school act in school. Family has different thing say about,"2,6",91,6,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,1,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,"Listen to them in what they can live for, their future",3,3,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,NA,92,92,,
