"ireland_4.t2q18a1","ireland_4.t2q18a2","ireland_4.t2q18a3","ireland_4.t2q18a4","ireland_4.t2q18a5","ireland_4.t2q18anu","ireland_4.t3q18b1","ireland_4.t3q18b2","ireland_4.t3q18b3","ireland_4.t3q18b4","ireland_4.t3q18b5","ireland_4.t3q18bnu","ireland_4.t2q18b1","ireland_4.t2q18b2","ireland_4.t2q18b3","ireland_4.t2q18b4","ireland_4.t2q18b5","ireland_4.t2q18bnu","ireland_4.t3q18b1.1","ireland_4.t3q18b2.1","ireland_4.t3q18b3.1","ireland_4.t3q18b4.1","ireland_4.t3q18b5.1","ireland_4.t3q18bnu.1","ireland_4.t2q19a1","ireland_4.t2q19a2","ireland_4.t2q19a3","ireland_4.t2q19a4","ireland_4.t2q19a5","ireland_4.t2q19anu","ireland_4.t3q19a1","ireland_4.t3q19a2","ireland_4.t3q19a3","ireland_4.t3q19a4","ireland_4.t3q19a5","ireland_4.t3q19anu","ireland_4.t2q19b1","ireland_4.t2q19b2","ireland_4.t2q19b3","ireland_4.t2q19b4","ireland_4.t2q19b5","ireland_4.t2q19bnu","ireland_4.t3q19b1","ireland_4.t3q19b2","ireland_4.t3q19b3","ireland_4.t3q19b4","ireland_4.t3q19b5","ireland_4.t3q19bnu","ireland_4.t2q20a1","ireland_4.t2q20a2","ireland_4.t2q20a3","ireland_4.t2q20a4","ireland_4.t2q20a5","ireland_4.t2q20anu","ireland_4.t3q20a1","ireland_4.t3q20a2","ireland_4.t3q20a3","ireland_4.t3q20a4","ireland_4.t3q20a5","ireland_4.t3q20anu","ireland_4.t2q20b1","ireland_4.t2q20b2","ireland_4.t2q20b3","ireland_4.t2q20b4","ireland_4.t2q20b5","ireland_4.t2q20bnu","ireland_4.t3q20b1","ireland_4.t3q20b2","ireland_4.t3q20b3","ireland_4.t3q20b4","ireland_4.t3q20b5","ireland_4.t3q20bnu","ireland_4.t2q21a1","ireland_4.t2q21a2","ireland_4.t2q21a3","ireland_4.t2q21a4","ireland_4.t2q21a5","ireland_4.t2q21anu","ireland_4.t3q21a1","ireland_4.t3q21a2","ireland_4.t3q21a3","ireland_4.t3q21a4","ireland_4.t3q21a5","ireland_4.t3q21anu","ireland_4.t2q21b1","ireland_4.t2q21b2","ireland_4.t2q21b3","ireland_4.t2q21b4","ireland_4.t2q21b5","ireland_4.t2q21bnu","ireland_4.t3q21b1","ireland_4.t3q21b2","ireland_4.t3q21b3","ireland_4.t3q21b4","ireland_4.t3q21b5","ireland_4.t3q21bnu"
"1","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"The way they were brought up themselves","NA","NA","NA","NA",1,"So children can start off mixing together","NA","NA","NA","NA",1,"Want to see the country changing","Let their children see how the other half were brought up","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"2","All children would have the same opportunities","Parents could then choose a school to suit where they live (geography). This would cut out competition between schools","NA","NA","NA",2,"Brightest children to go to grammar schools","NA","NA","NA","NA",1,"Some parents might want their kids to attend a more academic school with specialist subjects","NA","NA","NA","NA",1,"Brightest children to go to grammar schools","NA","NA","NA","NA",1,"To be able to learn more about and keep on their own faith","Some parents do not wish their children to mix with other religions because that is the way it has always been and they don't know how any different ways would work","NA","NA","NA",2,"To maintain identity","Mixing schools would be the end of separate identities","Loose customs & traditions","Religious education could not be taught","NA",4,"A more mutual respect ofr eachother","Some families are of mixed religion and don't wish to label their child with either option","NA","NA","NA",2,"Learn to have respect and understanding of other religions, learn to get on together","NA","NA","NA","NA",1,"Mutual respect and understanding","To share the benefits of eachother's schools","To show them that we are all the same reguardless of your choosen religion","To keep our two religions separate and divided","NA",4,"No point in putting them together to separate them","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Losing customs and identity","NA","NA","NA","NA",1,"So that children don't have to be tested or choose what they want until they are 14","Kids wouldn't feel pressurized to do well in an adademic exam to decide their future education","This would p[ossibly create a larger school which would be harder to control","NA","NA",3,"No support","NA","NA","NA","NA",1,"Pupils are ready for change at a certain level","If they move, they have a chance for a new beginning","NA","NA","NA",2,"young and teenagers shold be kept separated","NA","NA","NA","NA",1
"3","Better range of education for all pupils","Give pupils a better insight of their future","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Not enough religious attitude if schools were mixed","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Better understanding of different cultures","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"The ability to work in an integrated environment","Better friendships and interests","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"4","Social improvements","Youth developments/awareness","Fairness","Balance","Need for change",5,"Bigoted","Small minded","Unwilling to change","NA","NA",3,"Fear of falling standards","Fear of social mixing","Ignorance","Fear of change","NA",4,"Bigoted","Small minded","Unwilling to change","NA","NA",3,"NA","NA","NA","NA","NA",0,"Fear of change","Bitterness","No religious education","Would have to teach religion at home","NA",4,"NA","NA","NA","NA","NA",0,"Progressive step","Forward thinking","Fed up with current system","Breaking the cycle","NA",4,"Social development","Fairness","Stimulating","Ignorance again","NA",4,"Progressive thinking","First step to better understanding","New beginnings","NA","NA",3,"Fear of change","Possible erosion of parental influence","Fear of bullying","Disruptive environment","Open minded",5,"People do not want change","Small minded","NA","NA","NA",2,"New direction","Need for change","14' is the new '16'","Children of families staying together longer","Stage thinking",5,"No support for this","NA","NA","NA","NA",1,"Fear of change","Fear of bullying","Lack of confidence' in management","Ignorant","NA",4,"Fear for welfare of small children","Small children being exposed","NA","NA","NA",2
"5","More opportunity for less able students","NA","NA","NA","NA",1,"Opposed to all ability teaching","The teacher bases on the middle student and the weaker ad smarter children suffer","Children need subjects which suit their ability","NA","NA",3,"Change by students - teaching to the 'middle' so neither high achievers or less able are fuly catered for","NA","NA","NA","NA",1,"Opposed to all ability teaching","The teacher bases on the middle student and the weaker ad smarter children suffer","Children need subjects which suit their ability","NA","NA",3,"Need to maintain own culture","NA","NA","NA","NA",1,"Fear of the unknown","Maintain tradition or culture","Tied in with Church teaching","NA","NA",3,"Help promote understanding","NA","NA","NA","NA",1,"Most natural way we live and work in a community","Ear;y mixing will lead to less problems in the future","NA","NA","NA",2,"Not fully integrated if not taught together","NA","NA","NA","NA",1,"You would have to integrate it to work","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To keep Catholics in one class and Protestants in another there is no point","NA","NA","NA","NA",1,"Some children do not 'peak' at 11 and should be supported longer before selection","NA","NA","NA","NA",1,"I think because some don't develop as fast as other it seems 11 is not appropriate","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"People who don't have all the facts","People here are very much traditionalists","To long in an environment with young children but I think it will suit most","NA","NA",3
"6","NA","NA","NA","NA","NA",0,"Should keep grammar school for those children who are academic","NA","NA","NA","NA",1,"Need to keep grammar status schools","Grammar schools need to provide core subjects only","The all-ability schools i.e. 'comprehensive' didn't work in England and won't work here","Grammar status schools shouldn't be expected to facilitate vocational subjects","NA",4,"Should keep grammar school for those children who are academic","NA","NA","NA","NA",1,"Strong Catholic upbringing and teaching","Interdenominational status for secondary schools","NA","NA","NA",2,"The areas they live in & having strong faith","NA","NA","NA","NA",1,"Helps with integration","Develops their understanding of different cultures","NA","NA","NA",2,"It's good for people to lean about other faiths","NA","NA","NA","NA",1,"Share specialist subjects & resources","NA","NA","NA","NA",1,"It's the same and shared resources is good","Integration is good","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Afraid of integration","NA","NA","NA","NA",1,"Children wouldn't be expected to make a choice about their future unti the age of 14","NA","NA","NA","NA",1,"It gives the child more time to mature","NA","NA","NA","NA",1,"Primary schools couldn't accommodate the numbers","NA","NA","NA","NA",1,"Schools not coping with numbers","Don't want to change","NA","NA","NA",2
"7","Every subject available to every pupil","Wider choice of subjects","No division of pupils so no one is made to feel a failure","Same exams","NA",4,"NA","NA","NA","NA","NA",0,"No grammar school education provided","Brighter children may not be given enough chances","Special needs may not be identified","NA","NA",3,"NA","NA","NA","NA","NA",0,"Religious education would be given priority","Mixing with people of own community","NA","NA","NA",2,"Tradition. Wary of change","NA","NA","NA","NA",1,"Better idea of how whole communities live","Better idea of views of other community","NA","NA","NA",2,"Beneficial to mix with other religions","NA","NA","NA","NA",1,"Better choice of subjects","Better understanding of whole community","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Ingrained old views - not wanting two religions to mix at all","May not approve of child being taught by teacher of a different religion","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"No early selection procedure","Children at a better age to make own decisions","NA","NA","NA",2,"11 is too young to be making such a big change","NA","NA","NA","NA",1,"May not want change, and would want their child to attend grammar or secondary","Schools too large in terms of number of pupils","NA","NA","NA",2,"Tradition. Keep things the way they are","NA","NA","NA","NA",1
"8","Achieve higher grades","Improve league tables","Better support for children you need it in different areas","Everyoner has the same opportunities","Cover more vocaional subjects",5,"NA","NA","NA","NA","NA",NA,"Lower school status","League tables not as high","Given the opportunity to study vacational subjects","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Don't want themmixing with other religions","Don't agree with other people's beliefs & views","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Better understanding of other religions","Break down prejudices","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"To interact with eachother","To learn more about different religions","Given a chance to make up their own minds and not that of others","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Incase of disagreements/violence","Don't want religions to mix","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Do away with 11+","Children know better what they want at 14","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"It works OK as it is","What criteria would be used at 14","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA
"9","Every child gets the same chance","Those who are not integrated in academic subjects can choose vocational/practical subjects","Special needs children are given more options and help","NA","NA",3,"The Catholic Church would oppose on the having to share with Protestant","NA","NA","NA","NA",1,"The grammar schools would oppose their elite status being taken away from them","Parents would think the grammar is better even if the child is struggling","NA","NA","NA",2,"The Catholic Church would oppose on the having to share with Protestant","NA","NA","NA","NA",1,"Children need to mix with other pupils to avoid sectarian issues","Depends on the school in the locality, they've no option but to send them","NA","NA","NA",2,"Tradition","NA","NA","NA","NA",1,"they would feel their faith being exploited","NA","NA","NA","NA",1,"To learn about other peoples tradition","NA","NA","NA","NA",1,"Shared information is vital way of communication","Breaks down barriers in society","Gets rid of the old ideals that’s rooted in society and myths","NA","NA",3,"More opportunity for kids","More staff positions","NA","NA","NA",2,"Parents with prejudices don't want their children mixing in classes etc","Catholic Church schools would loose their input into the education role","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Would enhance numbers in the school roll","NA","NA","NA","NA",1,"My niece goes to an english school and it works better","They keep their friends long","NA","NA","NA",2,"Staff redundancies","Less schools needed in the area ie closure","NA","NA","NA",2,"NA","NA","NA","NA","NA",0
"10","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Religion Religion cut school act in school. Family has different thing say about","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Listen to them in what they can live for, their future","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
