"","qno","Q.wording","lo","plo","hi","phi","diff","p","seq"
"14","15d","Keeping the traditional pattern 11-18 and 11-16 schools","-0.128","0.011","-0.095","0.105","-0.033","0.667",1
"15","15e","Having most schools 11-16 and converting one or two schools into 16-18 Sixth Form Coll.","-0.104","0.023","-0.112","0.048","0.008","0.915",2
"16","15f","Switching to a system of junior high schools and senior high schools","0.118","0.03","-0.083","0.16","0.201","0.012",3
"17","15g","Schools combining primary and post-primary pupils","-0.008","0.874","-0.058","0.34","0.051","0.511",4
"1","11a","Having both academic schools and technical or vocational schools","-0.067","0.13","0.013","0.729","-0.08","0.166",5
"2","11b","Having system of specialist schools, each at least one area of expertise","-0.03","0.518","0.027","0.59","-0.057","0.403",6
"3","11c","Having a system of all ability schools, all providing same wide curriculum","-0.038","0.385","-0.08","0.132","0.041","0.543",7
"4","11d","Schools sharing facilities like a technology lab or a Sixth Form","0.028","0.512","0.038","0.497","-0.01","0.888",8
"5","11e","Schools sharing a campus while retaining distinct identities","-0.079","0.082","-0.081","0.09","0.002","0.971",9
"6","11f","Children travelling to neighboring schools to be taught subjects unavail. at own school","0.017","0.717","-0.01","0.857","0.028","0.711",10
"7","11g","Teachers travelling to neighboring schools to teach subjects unavail. there","0.007","0.885","-0.046","0.27","0.053","0.407",11
"11","15a","Retaining all types of schools currently in the Omagh area","-0.138","0.003","-0.022","0.622","-0.116","0.067",12
"9","14b","Schools that need to partner required to partner","0.073","0.066","0.057","0.292","0.016","0.815",13
"8","14a","Non-mixed Schools required to partner with school with children of diff. religion","-0.004","0.935","-0.064","0.204","0.06","0.367",14
"10","14c","If schools enter partnerships, children sometimes be taught in the same classroom","0.032","0.369","-0.027","0.553","0.059","0.305",15
"12","15b","Establishing jointly managed schools Catholic Protestant Church Western Ed. Lib. Board","-0.016","0.728","-0.043","0.451","0.026","0.719",16
"13","15c","Increasing formal Integrated schools including the Churches and the Ed. and Lib. Board","-0.01","0.806","-0.039","0.27","0.028","0.597",17
